message,type,overperforming,url,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,word_count,total_interactions,likes,comments,shares,love,wow,haha,sad,angry,care
"Colonial Heights School Board clarifies policies COLONIAL HEIGHTS, Va. -- Over the past several weeks, citizens and parents in Colonial Heights and across Virginia have expressed concern about news they are hearing at a state and national level related to public schools. As members of the Colonial Heights School Board, we want to collectively assure the citizens of Colonial Heights that our schools continue to be committed to being welcoming and safe places where all students and staff are valued and respected. We embrace equity of opportunity for all students and staff as we work hard together to advance and support student learning and be the best we can be as a community. To be clear, Critical Race Theory is not included in the curriculum for Colonial Heights Public Schools and is not included in current state standards of learning. History and social studies must be studied honestly and accurately, but students are not judged by the color of their skin under any circumstances. We must all be accountable for our actions as individuals, correct wrongs where they exist, and work together united rather than divided for the good of our community. Likewise, Colonial Heights Public Schools has not changed its policies regarding transgender students. We do not discriminate in our schools and will continue to work with students needing support on an individual basis and respect their privacy, in an environment that is safe and respectful of all students. Having worked through the incredibly challenging past year of the pandemic, our schools and community are stronger than ever and there is nothing we cannot face working together. We value all our students and families and look forward to having everyone back for the coming school year in September.",Status,1.91,https://www.facebook.com/534732829964507/posts/3807558146015276/,1,14,0,3,6,3,28,2,3,19,288,168,102,10,21,33,0,1,0,0,1
NA,Photo,1.9,https://www.facebook.com/249545748397484/posts/4469881846363832/,0,0,0,0,0,0,0,0,0,0,1,74,42,19,0,11,0,0,0,1,1
Message from Superintendent Moser,Link,1.74,https://www.facebook.com/194071090723168/posts/2477433442386910/,0,0,0,0,0,0,0,0,0,0,4,40,33,0,7,0,0,0,0,0,0
We don't teach critical race theory in Coachella Valley schools https://www.desertsun.com/story/opinion/contributors/valley-voice/2021/08/01/we-dont-teach-critical-race-theory-coachella-valley-schools/5407683001/ via @mydesert,Link,1.72,https://www.facebook.com/550032258375171/posts/4478239965554361/,0,2,0,0,2,0,2,0,2,4,32,50,27,12,4,5,1,0,0,1,0
"Chris joined the WJUSD team on May 3, 2021. Mr. Aldaco recently obtained a Master of Arts in Education from Cal State Long Beach and has over eight years of experience in education. As a college access advisor, he helped cultivate a 4-year college pathway for first-generation families. As an education coordinator at Homeboy Industries, he assisted formerly gang-involved and previously incarcerated men and women get on track for college. Mr. Aldaco's role will be to provide coaching, support, and professional development to the CAFÉ specialists and our community. He uses Critical Race Theory, Culturally Relevant Pedagogy, and the concept of Community Cultural Wealth to guide his work. Chris will support district-wide and site equity-centered engagement efforts. Cristóbal se unió al equipo de WJUSD el 3 de mayo de 2021. Recientemente, el Sr. Aldaco obtuvo una Maestría en Educación de la Universidad Estatal de California, Long Beach, y tiene más de ocho años de experiencia en educación. Como asesor de acceso a la universidad, ayudó a cultivar un camino universitario para familias de primera generación. Como coordinador de educación en Homeboy Industries, ayudó a hombres y mujeres que habían estado involucrados en pandillas y anteriormente encarcelados a encaminarse hacia la universidad. El Sr. Aldaco tiene la responsbilidad de brindar entrenamiento, apoyo y desarrollo profesional a los especialistas de CAFÉ y nuestra comunidad. Cristóbal utiliza la Teoría Crítica de la Raza, la Pedagogía Culturalmente Relevante y el concepto de Riqueza Cultural Comunitaria para guiar su trabajo. Cristóbal apoyará los esfuerzos de participación centrados en la equidad en todo el distrito escolar.",Photo,1.62,https://www.facebook.com/288497261516627/posts/1411263822573293/,1,5,0,1,3,1,11,0,0,8,265,42,30,5,4,2,0,0,0,0,1
"It has come to the School District’s attention that someone is falsely and shamelessly accusing the school district of engaging in social emotional learning as a vehicle for critical race theory. Do not buy into this RECKLESS NONSENSE. Teachers teach the Georgia Standards of Excellence and develop competencies that include critical thinking, creativity, communication, collaboration, and personal responsibility. We DO NOT teach critical race theory! District leadership will evaluate resources used to foster personal responsibility to ensure they are congruent to the values and norms of our community. Our goal is to provide an educational environment where every student feels valued, and no student is marginalized. You can learn more at https://pike.k12.ga.us/extended-portrait-of-a-graduate/",Link,1.56,https://www.facebook.com/118662004928591/posts/4391870457607703/,2,3,1,2,5,4,13,0,2,14,119,53,36,0,4,13,0,0,0,0,0
"Corpus Christi ISD statement regarding critical race theory inquiries Corpus Christi ISD, along with school districts across the nation, has received inquiries regarding critical race theory and how it relates to our schools. We serve nearly 35,000 students with a variety of thoughts, beliefs, perspectives and experiences. We value each child and strive to provide a warm, welcoming environment for every employee, student and family. It is important to note that critical race theory is not part of our social studies curriculum and has never been part of social studies curriculum in Texas. Throughout CCISD, we promote a culture of acceptance, understanding and achievement for all students and families. Additionally, we provide culturally relevant teaching training for staff, and celebrate a variety of cultural holidays throughout the school year. As a district, we remain committed to continuous improvement so that all students have the same opportunities to attain the educational success they are capable of achieving. We also take our role as stewards of public funds seriously, and provide preK-12 education in accordance with state standards. As our community remains focused on the important work yet to be done in healing from the effects of the pandemic, including its effect on our students’ learning, we remind those contacting our schools and district offices that any communication with our staff should be made in the respectful manner that we consistently strive to model for our students. While courteous communication is always an expectation, treating each other with respect is key to our staff’s recovery from an extraordinarily challenging 2020-2021 school year. We look forward to continuing to serve our community and to welcoming students back to campus on Tuesday, Aug. 10.",Status,1.54,https://www.facebook.com/102175829311/posts/10159528385579312/,0,12,1,2,6,4,31,1,0,27,282,241,96,70,31,36,0,4,1,1,2
"Here is some information that might clear up what is happening at the School Board Meeting tonight. Dr. Krage is sharing with the Board that our school district is not teaching the Critical Race Theory curriculum, however we do include the teaching of tolerance and equal access in our classrooms and they are part of the CO State Social Studies standards.",Status,1.53,https://www.facebook.com/931944123510649/posts/4320251628013198/,0,3,0,0,0,0,2,0,0,3,61,49,28,12,8,0,1,0,0,0,0
"If you've been paying attention to the news, you've likely seen parents from around the state and the country asking school boards to address a variety of issues affecting public education. Two of those issues - Social and Emotional Learning and Critical Race Theory - were addressed directly and at length by Board President Jim Williams during our last meeting. If you would like some detailed insights on our approach to these issues, please take the time to view President Williams' comments here: https://youtu.be/fW3v_xepjo0.:=:https://www.youtube.com/watch?v=fW3v_xepjo0.&feature=youtu.be",YouTube,1.52,https://www.facebook.com/265398816983536/posts/1750481115141958/,0,5,0,1,0,0,6,0,0,4,91,32,13,3,8,8,0,0,0,0,0
"Join Us for Community Forums on Curriculum Updates Assistant Superintendent for Instruction Melanie Ward will be sharing the NYSED Culturally Responsive-Sustaining Framework and recent updates to Pittsford’s K-12 English/language arts and social studies curriculum at the following events: Elementary Curriculum Review for Grades K-5 Tuesday, August 24, 6:30-7:30pm at Calkins Road Middle School, commons Secondary Curriculum Review for Grades 6-12 Thursday, August 26, 6:30-7:30pm at Calkins Road Middle School, commons Culturally Responsive-Sustaining Education is not the same as Critical Race Theory Culturally Responsive-Sustaining Education is a research-based, NYSED required approach to how we interact in the classroom, in an attempt to connect with each student and help create an environment where everyone reaches their full potential. Critical Race Theory is a term that is being used a lot recently, but is not being taught in our schools. Critical Race Theory is about challenging historical approaches to the teaching of topics connected to race. It is a social and legal construct, typically discussed in university settings. Join us to learn more about the NYSED framework and PCSD curriculum updates by registering here: https://www.pittsfordschools.org/Page/25783",Link,1.47,https://www.facebook.com/185850194793977/posts/4193025197409770/,0,8,0,0,1,0,15,0,0,13,199,28,12,6,7,2,0,0,0,1,0
"In this video, CCSD Superintendent of Schools George Welsh and Superintendent Designee Adam Hartman share a conversation about Critical Race Theory and its impact on the Cañon City School District. By watching, you will again in your understanding of what Critical Race Theory is, whether CCSD teaches it, and what CCSD is doing to support high-quality education for students steeped in fairness and kindness. https://www.youtube.com/watch?v=TVjzFSr68E8",YouTube,1.46,https://www.facebook.com/239600186140492/posts/3762601983840277/,0,4,0,1,1,0,3,0,0,5,70,38,25,5,8,0,0,0,0,0,0
FYI:,Photo,1.45,https://www.facebook.com/104271464464956/posts/391191495772950/,0,0,0,0,0,0,0,0,0,0,1,107,17,50,36,0,1,0,0,3,0
"Board of Education Regular Meeting Tonight Fantastic 49 at 6:00 p.m. Meeting begins at 6:30 p.m. TOPICS: Critical Race Theory, Possible MLO Ballot Measure, Operations Updates. More information, agenda and livestream at www.d49.org/BOE:=:https://www.d49.org/BOE",Link,1.36,https://www.facebook.com/141517542533343/posts/4435550399796681/,0,3,0,0,0,0,2,0,0,3,41,57,7,46,0,2,0,0,0,1,1
"Dear Community, As a follow-up to the conversations occurring in our community, I wanted to provide you with information about what is/is not occurring in the Snohomish School District in regard to Critical Race Theory (CRT), sexual education curriculum and use of masks/face coverings. And more importantly, I want to emphasize that the Snohomish School District is dedicated to each and every student’s education and strives to create a welcoming and inclusive environment for all. Our goal is to ensure that any student who entrusts us with their education earns their diploma while having a safe and positive experience in our schools. As summer is upon us and we prepare for full-time, in-person school next fall, I look forward to continuing our conversations around the quality of education in Snohomish. Thank you for your time, it is a pleasure to serve as your superintendent. Kent Critical Race Theory (CRT) The Snohomish School District does not have a Critical Race Theory (CRT) curriculum or class, nor does the state mandate we do so. Snohomish School District strives for equity through the efforts of removing all barriers to learning and by doing so seeks to honor and value the lives of each and every student, staff, and community member regardless of race, ethnicity, sex, gender identity, sexual orientation, religion, neurodiversity, social class or disability. Masks/face coverings The Centers for Disease Control and Prevention, Washington State Department of Health, the Washington Office of Superintendent of Public Instruction (OSPI) and Snohomish Health District have all noted masks are currently required for all individuals in the school setting (K-12). The district must follow the student health and safety requirements mandated by these entities. This is a state mandate that our neighboring school districts all follow as well. As we work through the summer, we fully anticipate that guidance from federal, state and local health partners may be changing regarding many of the COVID-19 health and safety aspects. Although we have no advance notice of what those changes may be, we will adapt accordingly and throughout the summer district teams will work to prepare our schools, classrooms and spaces to accommodate full, in-person enrollment. We will communicate any changes as soon as we are made aware. Sexual education curriculum Our district offers human growth and development curriculum to students in 5th through 9th grades. Our adopted curriculum used in the classroom, which is available at www.sno.wednet.edu/healtheducation,:=:https://www.sno.wednet.edu:443/healtheducation, went through our public review process which includes community meetings and input. In addition, each time the curriculum is taught we are required to have community meetings so families have the information before instruction so they can decide whether to opt their child out of the lessons. Senate Bill 5395, passed by the Legislature and the voters in 2020, took effect on December 3, 2020. It requires all Washington public schools to provide comprehensive sexual health education instruction that is medically and scientifically accurate, evidence-informed, age-appropriate, aligned with health and learning standards, and inclusive of all students regardless of their protected class status. The bill defines comprehensive sexual health education as recurring instruction in human development and reproduction that is age-appropriate and inclusive of all students. The bill maintains the right for parents/guardians to opt their children out of sexual health education instruction at any time. According to the requirements of Senate Bill 5395: Beginning in the 2021−22 school year • Schools must begin providing comprehensive sexual health education at least twice between grades 6−8 and at least twice between grades 9−12. For example, to meet the requirements for grades 6–8, schools may choose to provide instruction once in grade 6 and once in grade 8. The instruction must also include age-appropriate information about affirmative consent and bystander training. • Schools must inform the Office of Superintendent of Public Instruction (OSPI) of any curricula used to provide comprehensive sexual health education and describe how their instruction aligns with the requirements of the bill. •The Snohomish School District adopted human growth and development curriculum used in our 6th through 9th grade classrooms is available at www.sno.wednet.edu/healtheducation.:=:https://www.sno.wednet.edu:443/healtheducation. Opt out is available for anyone who does not want to participate. Beginning in the 2022−23 school year • Schools must provide social emotional learning (SEL) to students in grades K−3. There is no sexual health content required for students in grades K–3. • Schools must begin providing comprehensive sexual health education at least once between grades 4−5. Instruction on human growth and development (puberty) generally begins in 5th grade....",Link,1.32,https://www.facebook.com/136141411096/posts/10157736871196097/,1,19,1,2,8,4,67,3,1,47,773,74,37,36,1,0,0,0,0,0,0
"Meet our Governing Board President: Mr. Lawrence Robinson Mr. Robinson has championed an innovative anti-bullying policy, expanded access to after school programs, and founded a non-profit called Good Things Grow building outdoor classrooms where students can get their hands dirty learning about STEM. He is a graduate of Claremont McKenna College where he earned degrees in both Religious Studies and Government. He also earned his Juris Doctorate from NYU School of Law where he focused his studies on Critical Race Theory as well as Constitutional Law. Learn more about Mr. Robinson: https://www.rsd66.org/about-us/governing-board/meet-our-board/lawrence-robinson",Photo,1.31,https://www.facebook.com/219521341527517/posts/2432149760264653/,0,6,1,1,2,2,7,0,1,10,105,38,31,0,1,6,0,0,0,0,0
Please take a moment to read the follow-up statement by Superintendent Noel Schmidt in regards to the topic of Critical Race Theory or CRT. Thank you. https://rrps.org/blog/superintendent-statement/,Photo,1.2,https://www.facebook.com/104271464464956/posts/393075945584505/,0,1,0,0,0,0,2,0,0,3,32,89,43,28,17,0,0,0,1,0,0
"A statement from the USD 464 Superintendent: Parents and Patrons of USD 464, there are many 2022 legislative issues being discussed and school districts across Kansas are receiving questions about “critical race theory” being taught in Kansas public schools. I can assure you that critical race theory is not taught in Kansas public schools or in Tonganoxie Schools. The Kansas State Board of Education sets the standards of the knowledge and skills that high school graduates should possess. Local school districts then develop their curriculum that identifies the specific ways to achieve those goals. For further information on KSDE Curriculum, I would refer you to the Social Studies Standards on the KSDE website at www.ksde.org.:=:https://www.ksde.org/ In addition, the attached document explains Critical Race Theory and the Kansas Standards and curriculum process in detail. Please feel free to contact me at the USD 464 District Office by calling 913-416-1400 if you have any additional questions. Thank you, Loren Feldkamp Superintendent",Photo,1.13,https://www.facebook.com/333573036741330/posts/4306387866126474/,0,9,0,0,3,0,10,0,1,12,163,34,18,5,11,0,0,0,0,0,0
The North Central Local Schools has an important curriculum update about Critical Race Theory as listed in this letter from the district.,Photo,1.02,https://www.facebook.com/139441256103250/posts/4304025396311461/,0,2,0,0,0,0,1,0,0,2,22,53,27,3,11,12,0,0,0,0,0
NA,Link,0.37,https://www.facebook.com/1746775118894838/posts/3109140139324989/,0,0,0,0,0,0,0,0,0,0,1,7,3,1,1,2,0,0,0,0,0
"A message from George Qiao, Chemistry and AP Computer Science teacher, to staff. ""During times like these, it is easy for those of us who are not black to default to inaction. We, after all, were not taught about race in school, were not corrected for our microaggressions, were not given the critical lenses with which to examine our history-by-numbers education. We may worry about saying the wrong thing, reading too deeply into an out-of-touch text, or overstepping at a rally. However, none of this excuses inaction. It is up to us to find ways to be pro-black, and make up for the gaps in our own education we have hitherto blissfully accepted. A couple of you have asked me ""what can I do?"". I imagine that question is rolling around many of our heads. Here are, in no particular order, some answers. 1. Identify and Support Black-Owned Businesses Black-owned businesses have been hit hardest by the quarantine slump. Black entrepreneurs have a harder time finding capital, and must work harder to attract consumers. We can fight this trend by making sure our money is going towards businesses that support their communities... and get some delicious food / beautiful decor along the way. Link below. 2. Attend a Protest, Thoughtfully. We can't just show up physically. Linked below are ways to be more thoughtfully engaged as guests to a movement. Definitely don't be the non-black person loudly yelling ""Hands up, don't shoot"" and expecting others to follow you. 3. Educate and Reflect Upon Ourselves When we learn about race, we are not learning just about a ""theory"". We are not simply criticizing ""racism"". We must examine and criticize ourselves. Linked below is an absolutely massive list of resources to help us do that. I can also give some recommendations not included on this list. 4. Attend a Court Watch What happens to people who get arrested? They get a trial, but who will make sure that due process is upheld? We will, of course. Link below for more info. 5. Donate to a Bail Fund Money talks not just in politics, but in justice as well, unfortunately. Below is a list of bail funds we could donate to. Definitely don't be someone who shows off their donation receipt on social media, though. 6. Critically Examine Our News Sources Journalists, reporters, newswriters, and interviewers at major news corporations are all largely white. If we direct our attention only to these news sources, we will absorb the implicit bias and judgmental language, and fail to truly consider the key perspectives on race and justice. Linked below is a whole list of black news sources we could be reading 7. Refuse to Tolerate Ignorance Around Us: I am sure that many of us know a Trump voter. I am even more sure that many of us know someone who believes that race doesn't matter anymore. Sometimes the most important battles are won between friend and family. If someone is disgusted at ""violent looting"", encourage them to consider the violence of police, and the looting done by corporations. If someone believes that ""there's nothing I can do"", forward them this email. If someone isn't comfortable talking about race, do the work to help them have that conversation. It has never been more important for us to stand against intolerance."" linktr.ee/codmanacademy:=:http://linktr.ee/codmanacademy #EdThatAddsUp #LearnLeadServe",Link,0.16,https://www.facebook.com/164760430228497/posts/3054154037955774/,13,10,4,12,10,25,29,13,4,18,569,3,3,0,0,0,0,0,0,0,0
"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",Native Video,0,https://www.facebook.com/1504281553188691/posts/3025880021028829/,0,2,0,0,0,0,2,0,0,1,30,1,1,0,0,0,0,0,0,0,0
NA,Link,-0.24,https://www.facebook.com/465990290135967/posts/4130556070346019/,0,0,0,0,0,0,0,0,0,0,1,13,10,0,3,0,0,0,0,0,0
"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",Native Video,-0.5,https://www.facebook.com/1424378747816742/posts/2990317434556191/,0,2,0,0,0,0,2,0,0,1,30,2,2,0,0,0,0,0,0,0,0
"Today we honor Kimberlé Williams Crenshaw, a pioneering scholar and writer on civil rights, critical race theory, Black feminist legal theory, and race, racism and the law.",Native Video,-0.54,https://www.facebook.com/1438392153052120/posts/3525438181014163/,0,2,0,0,0,1,5,1,0,5,27,6,3,0,2,1,0,0,0,0,0
"#Repost @risestrategygroup ・・・ ""The First Amendment is America, and so is the Trail of Tears — which forcibly displaced the Indigenous People from their land in the name of expansion. The Civil Rights Act of 1964 is America, and so is the Three-Fifths Compromise — which counted each formerly enslaved individual as less than a whole person."" Founder and Head of School of Purpose Preparatory Academy (@purpose_prep) Lagra Newman (@lagra.newman) discusses the need to uplift questions of race and privilege in the classroom now, more than ever. As bills aiming to ban critical race theory from classrooms are dominating national conversations about education, leaders like Lagra are stepping up and causing ""good trouble"" fighting back. Read more in the @tennessean. #linkinbio #goodtrouble #congressmanjohnlewis #criticalracetheory #derrickbell #kimberlecrenshaw #history #teachthetruth #educationisfreedom #knowledgeispower #education #purposeprep",Photo,-0.54,https://www.facebook.com/334507036580879/posts/4704762289555310/,4,4,1,3,2,4,5,2,1,4,130,6,4,0,0,2,0,0,0,0,0
"Join Us for Community Forums on Curriculum Updates Assistant Superintendent for Instruction Melanie Ward will be sharing the NYSED Culturally Responsive-Sustaining Framework and recent updates to Pittsford’s K-12 English/language arts and social studies curriculum at the following events: Elementary Curriculum Review for Grades K-5 TODAY, August 24, 6:30-7:30pm at Calkins Road Middle School, commons Secondary Curriculum Review for Grades 6-12 Thursday, August 26, 6:30-7:30pm at Calkins Road Middle School, commons Culturally Responsive-Sustaining Education is not the same as Critical Race Theory Culturally Responsive-Sustaining Education is a research-based, NYSED required approach to how we interact in the classroom, in an attempt to connect with each student and help create an environment where everyone reaches their full potential. Critical Race Theory is a term that is being used a lot recently, but is not being taught in our schools. Critical Race Theory is about challenging historical approaches to the teaching of topics connected to race. It is a social and legal construct, typically discussed in university settings. Join us to learn more about the NYSED framework and PCSD curriculum updates by registering here: https://www.pittsfordschools.org/Page/25783. ASL interpretation services will be provided during the events. The forums will be recorded and posted on the PCSD YouTube page.",Link,-0.57,https://www.facebook.com/185850194793977/posts/4231372743575015/,0,8,0,0,1,0,15,0,0,13,220,6,3,2,1,0,0,0,0,0,0
"Join Us for Community Forums on Curriculum Updates Assistant Superintendent for Instruction Melanie Ward will be sharing the NYSED Culturally Responsive-Sustaining Framework and recent updates to Pittsford’s K-12 English/language arts and social studies curriculum at the following events: Secondary Curriculum Review for Grades 6-12 TOMORROW, August 26, 6:30-7:30pm at Calkins Road Middle School, commons Culturally Responsive-Sustaining Education is not the same as Critical Race Theory Culturally Responsive-Sustaining Education is a research-based, NYSED required approach to how we interact in the classroom, in an attempt to connect with each student and help create an environment where everyone reaches their full potential. Critical Race Theory is a term that is being used a lot recently, but is not being taught in our schools. Critical Race Theory is about challenging historical approaches to the teaching of topics connected to race. It is a social and legal construct, typically discussed in university settings. Join us to learn more about the NYSED framework and PCSD curriculum updates by registering here: https://www.pittsfordschools.org/Page/25783. ASL interpretation services will be provided during the events. The forums will be recorded and posted on the PCSD YouTube page.",Link,-0.57,https://www.facebook.com/185850194793977/posts/4234887569890199/,0,9,0,0,1,0,14,0,0,12,200,6,1,0,5,0,0,0,0,0,0
NA,Link,-0.62,https://www.facebook.com/171766159893958/posts/1067080203695878/,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0
"Check out our Weekly Parent Update from Mr. Elliott #leveluprebelup #PrideandExcellence Good afternoon Rebels, This is your proud Superintendent, Mr. Elliott, with your weekly update for Friday September 3, 2021. Congratulations: Congratulations the Stark County Board of Education who has been selected for the 2021 IASB School Governance Recognition for Excellence in School Board Leadership. The SC Board of Education will be honored later this fall. We want to thank the current and former board leadership for the great accomplishment: Ann Orwig, Bruce West, Brian Rewerts, Dave Steward, Beth Rumbold, Matthew Nagode, Emily Holman and Erin Price. Sex Education and Critical Race Theory Legislation: In regards to recent Illinois Legislation for Sex Education Curriculum and political topic of the Critical Race theory, here is an update in regards to Stark County: 1) New Sex Education: Per the new legislation and ROE, the sex education changes are ONLY for school boards who want to opt into the new expanded curriculum. A school board may choose to stay with our current sex education curriculum. Currently, Stark County Board of Education will not pursue any sex education curriculum changes. 2). The Critical Race Theory is a post graduate level study, not mandated curriculum, that was created at Harvard University. With that stated, the most recent Illinois social studies/history legislation is an “opts school boards can create new courses that focus on Black Lives Matter, Black History, etc. The only requirement curriculum change is to ensure a level Asian American History is taught, which is already in our textbooks/curriculum. Parking: With feedback from the community, we will continue the tradition of allowing parking at home football games at Gary Johnson field. We ask that you enter by 6:30 pm to avoid traffic inside the gates for safety reasons and also allow all foot traffic to exit the stadium before moving your vehicles. Due to a water line repair, all spectators for tonight’s game will enter and pay at the north or south gate. The new middle gate is currently closed. COVID-19 Protocols and On-Site Testing: A reminder to view our COVID-19 protocols for contact tracing and quarantine/isolation posted on our website @stark100. We remind you that options 2-4 are only available if you follow the health departments guidelines of daily check-ins via text or app once placed into COVID isolation or healthy Quarantine. If these daily contacts with the Health Department are not made the time out of school will be 14 days. We are also offering on-site Binax-NOW rapid testing to staff and students in our nurses’ offices if you have a parent consent form on file and opt into Option 4, “Test to Stay” Protocols. Please contact your school for any questions. https://drive.google.com/file/d/11-dWmZiHll-pgfjFpHjZARrI7E7VR67n/view?usp=sharing SC Sportsmanship: As we enter the new year and full athletics seasons, we remind you that here at Stark County we take great pride in representing our schools and communities with good sportsmanship. Please avoid yelling or criticizing players, coaches, officials or programs during games and practices. Also, please use social media to promote our programs in a positive way. The world is filled with negativity, so let’s take the high road and remain positive Stark County. Live Broadcasts Sponsorships and Reserved Football Seating Available: With the pandemic continuing to affect our lives, Stark County will again have live broadcasts of varsity volleyball, football and boys/girls basketball with announcers presenting football and basketball. In order to fund this initiative, we are seeking game sponsors. If your family or business is interested, please check out the criteria for Gold, Silver and Bronze sponsorships posted today on our Facebook and contact me at belliott@stark100.com or 309-695-6123 to participate in sponsorships. We also have our reserved “Red Chair” seating available for home football games. There are still Red Football seats available for purchase at the Gary Johnson Football Field in Wyoming. Cost is $50 each, if interested please contact the HS office. COVID-19 Health Update for August 29 – September 3: • 1 COVID-19 Positive Student Cases (SCES) • 1 Student close contact (SCES, entered into “Test to Stay” protocol) • 0 Staff Cases or Quarantines Principal’s Weekly Updates: A reminder to listen and read your weekly principal updates from Mrs. Bibb and Ms. McGann to prepare you and your children for the week ahead including the SCJSH Open House on Thursday and the full 2021 Homecoming week including event night, bonfire, parade, dance and more! As always, thank you for being the Pride and Excellence of Stark County. Bookshakalaka, take the on a rare….Sunday!!! #LevelUpRebelUp -Mr. Elliott",Link,-0.62,https://www.facebook.com/322676618110440/posts/1498302857214471/,0,36,4,7,26,16,53,8,4,46,780,6,4,1,1,0,0,0,0,0,0
"Join Us for Community Forums on Curriculum Updates Assistant Superintendent for Instruction Melanie Ward will be sharing the NYSED Culturally Responsive-Sustaining Framework and recent updates to Pittsford’s K-12 English/language arts and social studies curriculum at the following events: Elementary Curriculum Review for Grades K-5 Tuesday, August 24, 6:30-7:30pm at Calkins Road Middle School, commons Secondary Curriculum Review for Grades 6-12 Thursday, August 26, 6:30-7:30pm at Calkins Road Middle School, commons Culturally Responsive-Sustaining Education is not the same as Critical Race Theory Culturally Responsive-Sustaining Education is a research-based, NYSED required approach to how we interact in the classroom, in an attempt to connect with each student and help create an environment where everyone reaches their full potential. Critical Race Theory is a term that is being used a lot recently, but is not being taught in our schools. Critical Race Theory is about challenging historical approaches to the teaching of topics connected to race. It is a social and legal construct, typically discussed in university settings. Join us to learn more about the NYSED framework and PCSD curriculum updates by registering here: https://www.pittsfordschools.org/Page/25783. ASL interpretation services will be provided during the events. The forums will be recorded and posted on the PCSD YouTube page.",Link,-0.64,https://www.facebook.com/185850194793977/posts/4219325594779730/,0,8,0,0,1,0,15,0,0,13,220,5,1,3,1,0,0,0,0,0,0
"Our teacher-leaders are engaging in a Culturally Responsive Action Team. The purpose is to create informal support sessions and dialogue focused on servant leadership skills, culturally responsive school leadership skills, and critical race theory to engage in self-examination to increase cultural competency through discussions with colleagues. Each week, the team leader posts a short reflection. You can read them at https://www.mcrsd.org/leadership/tag/CRAT",Photo,-0.65,https://www.facebook.com/372894126231026/posts/1507490909438003/,0,3,0,1,2,2,9,0,1,11,67,6,4,0,1,1,0,0,0,0,0
NA,Live Video Scheduled,-0.67,https://www.facebook.com/265858010167239/posts/412546787176438/,0,0,0,0,0,0,0,0,0,0,1,5,3,2,0,0,0,0,0,0,0
NA,Link,-0.71,https://www.facebook.com/141724789206353/posts/4429948137050642/,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,1,0,0,0,0,0
"Join Us for Community Forums on Curriculum Updates Assistant Superintendent for Instruction Melanie Ward will be sharing the NYSED Culturally Responsive-Sustaining Framework and recent updates to Pittsford’s K-12 English/language arts and social studies curriculum at the following events: Elementary Curriculum Review for Grades K-5 TOMORROW, August 24, 6:30-7:30pm at Calkins Road Middle School, commons Secondary Curriculum Review for Grades 6-12 Thursday, August 26, 6:30-7:30pm at Calkins Road Middle School, commons Culturally Responsive-Sustaining Education is not the same as Critical Race Theory Culturally Responsive-Sustaining Education is a research-based, NYSED required approach to how we interact in the classroom, in an attempt to connect with each student and help create an environment where everyone reaches their full potential. Critical Race Theory is a term that is being used a lot recently, but is not being taught in our schools. Critical Race Theory is about challenging historical approaches to the teaching of topics connected to race. It is a social and legal construct, typically discussed in university settings. Join us to learn more about the NYSED framework and PCSD curriculum updates by registering here: https://www.pittsfordschools.org/Page/25783. ASL interpretation services will be provided during the events. The forums will be recorded and posted on the PCSD YouTube page.",Link,-0.71,https://www.facebook.com/185850194793977/posts/4228493867196236/,0,9,0,0,1,0,15,0,0,13,220,4,2,1,1,0,0,0,0,0,0
NA,Live Video Scheduled,-0.75,https://www.facebook.com/143649550232/posts/577234410229082/,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,2,0,0,0,0,0
"Whether you’ve welcomed the presence of #BroodX or deemed them as a nuisance to your outdoor activities, many have witnessed the billions of cicadas swarming the East and Midwest regions. However, Ronak Shah, a science teacher KIPP Indy Public Schools, was met with questions from his students about the eerie absence of cicadas from their Indianapolis neighborhood. Ronak knew that to honestly address his students’ concerns, they needed to learn about environmental racism, environmental injustice, and other lasting effects of the historical lines of segregation in their city. Read more here: https://in.chalkbeat.org/2021/6/28/22550964/cicadas-environmental-racism-indianapolis-critical-race-theory-crt",Link,-0.75,https://www.facebook.com/276593497919/posts/10159455896887920/,2,3,0,2,1,3,5,1,0,2,105,4,2,0,0,2,0,0,0,0,0
"Kimberlé Williams Crenshaw is an American lawyer, civil rights advocate, philosopher, and a leading scholar (professor at the UCLA School of Law and Columbia Law School) of critical race theory who developed the theory of intersectionality. Learn more about the women that inspire the women @kippsocal here: https://bit.ly/3b6EAwR:=:https://www.kippsocal.org/together-for-justice/womens-history-month #womenshistorymonth",Photo,-0.78,https://www.facebook.com/102811177073/posts/10159328523077074/,1,3,1,1,1,1,7,0,0,12,59,2,1,0,0,1,0,0,0,0,0
