post_created_date,page_name,type,total_interactions,likes,comments,shares,love,wow,haha,sad,angry,care,message,url,nces_id,post_id,overperforming,followers_at_posting,state_combined,n_students_combined
8/13/21,Elizabethtown Area School District,Photo,87,40,29,8,7,0,0,2,1,0,"To discourage rumors and correct misunderstandings, EASD has published more detailed information on Monday evening's Leader In Me Equity In Education Parent/Guardian Night. Parents and guardians are critical stakeholders in our education system. As such, the Equity In Education program is for the adults connected to our students and is designed to equip you with information to help build student leadership capacity. The Leader In Me Equity In Education program is neither a curriculum for students nor is it Critical Race Theory. For clarification purposes, Critical Race Theory IS NOT taught in our schools K-12. Instead, the purpose of the Equity in Education program is to ensure our schools feel safe and are conducive to learning for every student. Read more at ⬇️ https://tinyurl.com/442u9nhu:=:https://www.etownschools.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=18544&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=35330&PageID=1",https://www.facebook.com/137748559605428/posts/4267988433248066/,4209120,137749000000000,2.02,4854,PENNSYLVANIA,3691
9/3/21,Klamath County School District,Photo,77,58,8,9,0,0,1,0,0,1,"More than 70 parents and community members joined Klamath County School District Superintendent Glen Szymoniak tonight (Sept. 2) on the lawn of Mazama High School for a discussion about schools and state mandates. The forum was followed by a question and answer session. As the event began, football players gathered on nearby Viking Field, warming up for an evening game. Klamath County Sheriff Chris Kaber was among the first to address the crowd, explaining he supported their right to peaceably protest but asking that those who wish to do so not disrupt the first day of school for students. Some parents wanted the school district to defy the state mask mandate, risking educators’ certifications as well as fines and loss of liability insurance. But others said it was an unacceptable risk to ask of teachers and administrators. (The state is requiring the wearing of masks inside all K-12 school buildings.) Janah Moorer, who will be a senior at Mazama when school starts next week, told the crowd she is ready to be back in the classroom fulltime after a year of distance learning and hybrid schedules. “I’m not a fan of masks, but I’m willing to make that sacrifice,” she said. For nearly 40 minutes, community members had the floor, asking questions about state mandates and how school will look for students this fall. Superintendent Glen Szymoniak then answered as many questions as time allowed. He also explained how the district will continue to advocate for local control, which would allow leaders to work with Klamath County Public Health to determine how best to handle COVID-19. Questions ranged from staffing, mask mandates and vaccination requirements for school staff to critical race theory (CRT is not part of the district’s curriculum). The school district is compiling the questions and answers and will post them on our website at www.kcsd.k12.or.us.:=:https://www.kcsd.k12.or.us/ As the meeting ended, the football game started and fans could be heard cheering. Szymoniak thanked parents and community members for taking the time to attend the town hall before joining Mazama Principal Jennifer Hawkins and heading to Viking Field to watch the students play. “We all care about our children and want our schools open,” he said. “I will always be accountable to you and listen to you. Now whether I can do everything you want? I can’t make that promise, but I can promise you that I’m going to provide you with a respectful environment so you can get your questions answered.”",https://www.facebook.com/1406688319550986/posts/3123794961173638/,4107020,140669e10,-1.1,6657,OREGON,6784
7/21/21,Euclid City Schools,Photo,74,42,19,0,11,0,0,0,1,1,NA,https://www.facebook.com/249545748397484/posts/4469881846363832/,3901413,249546000000000,1.9,5058,OHIO,48
6/25/21,Snohomish School District,Link,74,37,36,1,0,0,0,0,0,0,"Dear Community, As a follow-up to the conversations occurring in our community, I wanted to provide you with information about what is/is not occurring in the Snohomish School District in regard to Critical Race Theory (CRT), sexual education curriculum and use of masks/face coverings. And more importantly, I want to emphasize that the Snohomish School District is dedicated to each and every student’s education and strives to create a welcoming and inclusive environment for all. Our goal is to ensure that any student who entrusts us with their education earns their diploma while having a safe and positive experience in our schools. As summer is upon us and we prepare for full-time, in-person school next fall, I look forward to continuing our conversations around the quality of education in Snohomish. Thank you for your time, it is a pleasure to serve as your superintendent. Kent Critical Race Theory (CRT) The Snohomish School District does not have a Critical Race Theory (CRT) curriculum or class, nor does the state mandate we do so. Snohomish School District strives for equity through the efforts of removing all barriers to learning and by doing so seeks to honor and value the lives of each and every student, staff, and community member regardless of race, ethnicity, sex, gender identity, sexual orientation, religion, neurodiversity, social class or disability. Masks/face coverings The Centers for Disease Control and Prevention, Washington State Department of Health, the Washington Office of Superintendent of Public Instruction (OSPI) and Snohomish Health District have all noted masks are currently required for all individuals in the school setting (K-12). The district must follow the student health and safety requirements mandated by these entities. This is a state mandate that our neighboring school districts all follow as well. As we work through the summer, we fully anticipate that guidance from federal, state and local health partners may be changing regarding many of the COVID-19 health and safety aspects. Although we have no advance notice of what those changes may be, we will adapt accordingly and throughout the summer district teams will work to prepare our schools, classrooms and spaces to accommodate full, in-person enrollment. We will communicate any changes as soon as we are made aware. Sexual education curriculum Our district offers human growth and development curriculum to students in 5th through 9th grades. Our adopted curriculum used in the classroom, which is available at www.sno.wednet.edu/healtheducation,:=:https://www.sno.wednet.edu:443/healtheducation, went through our public review process which includes community meetings and input. In addition, each time the curriculum is taught we are required to have community meetings so families have the information before instruction so they can decide whether to opt their child out of the lessons. Senate Bill 5395, passed by the Legislature and the voters in 2020, took effect on December 3, 2020. It requires all Washington public schools to provide comprehensive sexual health education instruction that is medically and scientifically accurate, evidence-informed, age-appropriate, aligned with health and learning standards, and inclusive of all students regardless of their protected class status. The bill defines comprehensive sexual health education as recurring instruction in human development and reproduction that is age-appropriate and inclusive of all students. The bill maintains the right for parents/guardians to opt their children out of sexual health education instruction at any time. According to the requirements of Senate Bill 5395: Beginning in the 2021−22 school year • Schools must begin providing comprehensive sexual health education at least twice between grades 6−8 and at least twice between grades 9−12. For example, to meet the requirements for grades 6–8, schools may choose to provide instruction once in grade 6 and once in grade 8. The instruction must also include age-appropriate information about affirmative consent and bystander training. • Schools must inform the Office of Superintendent of Public Instruction (OSPI) of any curricula used to provide comprehensive sexual health education and describe how their instruction aligns with the requirements of the bill. •The Snohomish School District adopted human growth and development curriculum used in our 6th through 9th grade classrooms is available at www.sno.wednet.edu/healtheducation.:=:https://www.sno.wednet.edu:443/healtheducation. Opt out is available for anyone who does not want to participate. Beginning in the 2022−23 school year • Schools must provide social emotional learning (SEL) to students in grades K−3. There is no sexual health content required for students in grades K–3. • Schools must begin providing comprehensive sexual health education at least once between grades 4−5. Instruction on human growth and development (puberty) generally begins in 5th grade....",https://www.facebook.com/136141411096/posts/10157736871196097/,5308020,136141000000,1.32,11063,WASHINGTON,9421
7/15/21,Wenatchee School District 246,Link,73,53,2,17,0,0,0,0,0,1,"There is a lot of discussion surrounding CRT, DEI and Comprehensive Sexual Ed. happening nationally and in our own community. To help keep families informed and to dispel any misinformation about these topics as it relates to our district we've created an informational website that outlines what is and isn't happening in our schools. https://www.wenatcheeschools.org/news/1715707/critical-race-theory-d-e-i-and-sexual-health-ed-information",https://www.facebook.com/125750924103694/posts/4551573074854768/,5309660,125751000000000,2.81,5525,WASHINGTON,7325
5/11/21,Millwood Public Schools #Original,Link,68,29,0,20,18,0,0,0,0,1,NA,https://www.facebook.com/104070680303598/posts/773299960047330/,4020080,104071000000000,2.96,1229,OKLAHOMA,905
8/10/21,North Lamar ISD,Link,60,38,9,12,1,0,0,0,0,0,"NORTH LAMAR ISD STATEMENT REGARDING CRITICAL RACE THEORY Dated: August 10, 2021 Considering HB 3979 passed in the recent Texas legislative session, people across the state, including the North Lamar ISD community, are asking questions about critical race theory (CRT) and whether the theory is taught in public schools. CRT is not taught at North Lamar ISD. CRT is not a part of the social studies curriculum in Texas. The state’s social studies curriculum can be found at the following link: Texas Essential Knowledge and Skills (TEKS) https://tea.texas.gov/academics/curriculum-standards/teks/texas-essential-knowledge-and-skills . While North Lamar ISD serves a diverse community and values the thoughts, beliefs, perspectives, and experiences of all our students and staff, the curriculum for all school districts must be adopted by the Texas State Board of Education. North Lamar ISD’s curriculum follows the TEKS and CRT is not included in the District’s curriculum. Kelli Stewart, Superintendent North Lamar Independent School District",https://www.facebook.com/565382070246090/posts/4110484175735844/,4833010,565382000000000,3.16,4191,TEXAS,2361
8/12/21,School District 49,Link,57,7,46,0,2,0,0,0,1,1,"Board of Education Regular Meeting Tonight Fantastic 49 at 6:00 p.m. Meeting begins at 6:30 p.m. TOPICS: Critical Race Theory, Possible MLO Ballot Measure, Operations Updates. More information, agenda and livestream at www.d49.org/BOE:=:https://www.d49.org/BOE",https://www.facebook.com/141517542533343/posts/4435550399796681/,0803870,100065000000000,1.36,16016,COLORADO,23984
10/31/21,Pike County Public Schools,Link,53,36,0,4,13,0,0,0,0,0,"It has come to the School District’s attention that someone is falsely and shamelessly accusing the school district of engaging in social emotional learning as a vehicle for critical race theory. Do not buy into this RECKLESS NONSENSE. Teachers teach the Georgia Standards of Excellence and develop competencies that include critical thinking, creativity, communication, collaboration, and personal responsibility. We DO NOT teach critical race theory! District leadership will evaluate resources used to foster personal responsibility to ensure they are congruent to the values and norms of our community. Our goal is to provide an educational environment where every student feels valued, and no student is marginalized. You can learn more at https://pike.k12.ga.us/extended-portrait-of-a-graduate/",https://www.facebook.com/118662004928591/posts/4391870457607703/,130417004235,118662000000000,1.56,6490,GEORGIA,28
7/29/21,North Central Local Schools,Photo,53,27,3,11,12,0,0,0,0,0,The North Central Local Schools has an important curriculum update about Critical Race Theory as listed in this letter from the district.,https://www.facebook.com/139441256103250/posts/4304025396311461/,3905064,139441000000000,1.02,2150,OHIO,591
8/2/21,Palm Springs Unified School District,Link,50,27,12,4,5,1,0,0,1,0,We don't teach critical race theory in Coachella Valley schools https://www.desertsun.com/story/opinion/contributors/valley-voice/2021/08/01/we-dont-teach-critical-race-theory-coachella-valley-schools/5407683001/ via @mydesert,https://www.facebook.com/550032258375171/posts/4478239965554361/,0629550,550032000000000,1.72,5708,CALIFORNIA,21705
8/9/21,Fremont Re-2 School District,Status,49,28,12,8,0,1,0,0,0,0,"Here is some information that might clear up what is happening at the School Board Meeting tonight. Dr. Krage is sharing with the Board that our school district is not teaching the Critical Race Theory curriculum, however we do include the teaching of tolerance and equal access in our classrooms and they are part of the CO State Social Studies standards.",https://www.facebook.com/931944123510649/posts/4320251628013198/,0800233,931944000000000,1.53,1656,COLORADO,†
7/27/21,Republic County Schools,Status,47,41,0,5,1,0,0,0,0,0,"To: All Republic County USD 109 Patrons Date: August 2, 2021 Re: Response to Critical Race Theory The subject of critical race theory has been dominating the media and social media headlines lately. Just as we teach our students to be judicious consumers of information, we encourage all patrons to educate themselves on what critical race theory (CRT) truly is and what it is not. Critical race theory is not part of the Kansas State Department of Education, nor Republic County USD 109’s academic standards that we teach in our classrooms. Our curriculum is aligned with the Kansas State Department of Education’s academic standards that can be found at www.ksde.org.:=:https://www.ksde.org/ Republic County USD 109 is a learning community dedicated to and continues to ensure educational practices and excellence so that all students achieve at high levels and graduate prepared for success in college, careers and live in a rapidly changing world. Republic County USD 109 will continue to teach the exact same academic standards as the district has been teaching in our classrooms. Educationally, Larry Lyder Superintendent",https://www.facebook.com/376243892568133/posts/1756118197914022/,2000030,376244000000000,2.04,1640,KANSAS,503
6/15/21,Woodland Joint Unified School District,Photo,42,30,5,4,2,0,0,0,0,1,"Chris joined the WJUSD team on May 3, 2021. Mr. Aldaco recently obtained a Master of Arts in Education from Cal State Long Beach and has over eight years of experience in education. As a college access advisor, he helped cultivate a 4-year college pathway for first-generation families. As an education coordinator at Homeboy Industries, he assisted formerly gang-involved and previously incarcerated men and women get on track for college. Mr. Aldaco's role will be to provide coaching, support, and professional development to the CAFÉ specialists and our community. He uses Critical Race Theory, Culturally Relevant Pedagogy, and the concept of Community Cultural Wealth to guide his work. Chris will support district-wide and site equity-centered engagement efforts. Cristóbal se unió al equipo de WJUSD el 3 de mayo de 2021. Recientemente, el Sr. Aldaco obtuvo una Maestría en Educación de la Universidad Estatal de California, Long Beach, y tiene más de ocho años de experiencia en educación. Como asesor de acceso a la universidad, ayudó a cultivar un camino universitario para familias de primera generación. Como coordinador de educación en Homeboy Industries, ayudó a hombres y mujeres que habían estado involucrados en pandillas y anteriormente encarcelados a encaminarse hacia la universidad. El Sr. Aldaco tiene la responsbilidad de brindar entrenamiento, apoyo y desarrollo profesional a los especialistas de CAFÉ y nuestra comunidad. Cristóbal utiliza la Teoría Crítica de la Raza, la Pedagogía Culturalmente Relevante y el concepto de Riqueza Cultural Comunitaria para guiar su trabajo. Cristóbal apoyará los esfuerzos de participación centrados en la equidad en todo el distrito escolar.",https://www.facebook.com/288497261516627/posts/1411263822573293/,0643080,288497000000000,1.62,2807,CALIFORNIA,9658
7/16/21,Hiawatha Public Schools-USD 415,Link,40,33,0,7,0,0,0,0,0,0,Message from Superintendent Moser,https://www.facebook.com/194071090723168/posts/2477433442386910/,2000006,194071000000000,1.74,3008,KANSAS,970
5/21/21,Isle of Wight County Schools,Native Video,40,14,16,3,2,0,3,0,1,1,"In this edition of our series, The ""Why"" in Equity, Dr. Thornton discusses ways in which equity is being implemented in K-12 curriculum. In doing so, he addresses some of the communities concerns by ensuring that Critical Race Theory and the 1619 Project are not being implemented into the K-12 curriculum.",https://www.facebook.com/120373721313254/posts/4744237268926853/,5102010,120374000000000,-1.77,4754,VIRGINIA,5396
8/30/21,Canon City Schools Fremont RE-1,YouTube,38,25,5,8,0,0,0,0,0,0,"In this video, CCSD Superintendent of Schools George Welsh and Superintendent Designee Adam Hartman share a conversation about Critical Race Theory and its impact on the Cañon City School District. By watching, you will again in your understanding of what Critical Race Theory is, whether CCSD teaches it, and what CCSD is doing to support high-quality education for students steeped in fairness and kindness. https://www.youtube.com/watch?v=TVjzFSr68E8",https://www.facebook.com/239600186140492/posts/3762601983840277/,0800233,239600000000000,1.46,3896,COLORADO,†
5/26/21,Kansas City Public Schools,Link,38,18,0,10,9,0,0,0,0,1,"""We’ve provided context for the legislature throughout the spring, relaying the injustice, short-sightedness and unworthy attempt to squash diverse and inclusive conversation and learning."" -KCPS, now and always",https://www.facebook.com/137720132910139/posts/4688327021182738/,2916400,137720000000000,-1.63,12378,MISSOURI,14113
1/25/21,Roosevelt School District No. 66,Photo,38,31,0,1,6,0,0,0,0,0,"Meet our Governing Board President: Mr. Lawrence Robinson Mr. Robinson has championed an innovative anti-bullying policy, expanded access to after school programs, and founded a non-profit called Good Things Grow building outdoor classrooms where students can get their hands dirty learning about STEM. He is a graduate of Claremont McKenna College where he earned degrees in both Religious Studies and Government. He also earned his Juris Doctorate from NYU School of Law where he focused his studies on Critical Race Theory as well as Constitutional Law. Learn more about Mr. Robinson: https://www.rsd66.org/about-us/governing-board/meet-our-board/lawrence-robinson",https://www.facebook.com/219521341527517/posts/2432149760264653/,0407080,219521000000000,1.31,3884,ARIZONA,7548
10/28/21,Tonganoxie USD 464,Photo,34,18,5,11,0,0,0,0,0,0,"A statement from the USD 464 Superintendent: Parents and Patrons of USD 464, there are many 2022 legislative issues being discussed and school districts across Kansas are receiving questions about “critical race theory” being taught in Kansas public schools. I can assure you that critical race theory is not taught in Kansas public schools or in Tonganoxie Schools. The Kansas State Board of Education sets the standards of the knowledge and skills that high school graduates should possess. Local school districts then develop their curriculum that identifies the specific ways to achieve those goals. For further information on KSDE Curriculum, I would refer you to the Social Studies Standards on the KSDE website at www.ksde.org.:=:https://www.ksde.org/ In addition, the attached document explains Critical Race Theory and the Kansas Standards and curriculum process in detail. Please feel free to contact me at the USD 464 District Office by calling 913-416-1400 if you have any additional questions. Thank you, Loren Feldkamp Superintendent",https://www.facebook.com/333573036741330/posts/4306387866126474/,2012210,333573000000000,1.13,3094,KANSAS,1897
10/1/21,Muncie Community Schools,YouTube,32,13,3,8,8,0,0,0,0,0,"If you've been paying attention to the news, you've likely seen parents from around the state and the country asking school boards to address a variety of issues affecting public education. Two of those issues - Social and Emotional Learning and Critical Race Theory - were addressed directly and at length by Board President Jim Williams during our last meeting. If you would like some detailed insights on our approach to these issues, please take the time to view President Williams' comments here: https://youtu.be/fW3v_xepjo0.:=:https://www.youtube.com/watch?v=fW3v_xepjo0.&feature=youtu.be",https://www.facebook.com/265398816983536/posts/1750481115141958/,1807320,265399000000000,1.52,6570,INDIANA,4996
8/11/21,Pittsford Central School District,Link,28,12,6,7,2,0,0,0,1,0,"Join Us for Community Forums on Curriculum Updates Assistant Superintendent for Instruction Melanie Ward will be sharing the NYSED Culturally Responsive-Sustaining Framework and recent updates to Pittsford’s K-12 English/language arts and social studies curriculum at the following events: Elementary Curriculum Review for Grades K-5 Tuesday, August 24, 6:30-7:30pm at Calkins Road Middle School, commons Secondary Curriculum Review for Grades 6-12 Thursday, August 26, 6:30-7:30pm at Calkins Road Middle School, commons Culturally Responsive-Sustaining Education is not the same as Critical Race Theory Culturally Responsive-Sustaining Education is a research-based, NYSED required approach to how we interact in the classroom, in an attempt to connect with each student and help create an environment where everyone reaches their full potential. Critical Race Theory is a term that is being used a lot recently, but is not being taught in our schools. Critical Race Theory is about challenging historical approaches to the teaching of topics connected to race. It is a social and legal construct, typically discussed in university settings. Join us to learn more about the NYSED framework and PCSD curriculum updates by registering here: https://www.pittsfordschools.org/Page/25783",https://www.facebook.com/185850194793977/posts/4193025197409770/,3623160,185850000000000,1.47,2848,NEW YORK,5591
6/22/21,Caledonia Area Public Schools,Status,28,27,1,0,0,0,0,0,0,0,Some questions have been brought to school administration regarding Critical Race Theory (CRT). Caledonia Area Public Schools does not teach Critical Race Theory to our students as CRT does not appear anywhere in the Minnesota State Standards.,https://www.facebook.com/831440620208616/posts/4566237923395515/,2707380,831441000000000,-1.18,1357,MINNESOTA,727
12/3/20,Rock Hill Schools,Photo,27,11,1,5,10,0,0,0,0,0,"Tonight's Parent Academy opens the conversation about experiences of diverse groups. Join us at 6 p.m. on the Rock Hill Schools YouTube channel, www.youtube.com/rockhillschools.:=:http://www.youtube.com/rockhillschools. Winthrop University professor Dr. Monique Constance-Huggins will lead the conversation. Dr. Constance-Huggins is an Associate Professor and Undergraduate Program Director in the Department of Social Work at Winthrop University. She received her PhD, MSW, and MPIA from the University of Pittsburgh. She is a critical race social work scholar, who has devoted her academic life researching racial disparities, oppression, and racial ideologies. Her other areas of research include social capital among women, poverty and community needs assessment. Dr. Constance-Huggins has also spent many years providing cultural competence training to organizations. She also provides policy analysis to developing island state. Dr. Huggins’ work brings together empirical studies, theory, and social policy to improve individuals, organizations, and communities. Dr. Constance-Huggins teaches courses in research methods, social welfare policy, community practice, and working with multicultural populations.",https://www.facebook.com/132069386853206/posts/3782377098489065/,4503870,132069000000000,-1.85,15877,SOUTH CAROLINA,16652
6/18/21,Oakland Unified School District,Photo,26,16,3,4,3,0,0,0,0,0,"Dear Oakland Unified Community, I write to you with a full heart today. Something has happened that was long overdue in our nation, and I want to celebrate it with the entire district. Congress passed and then President Joe Biden signed into law a federal holiday on June 19th, or Juneteenth, commemorating the end of enslavement in the United States. June 19, 1865 is the day that “Union Major General Gordon Granger announced the end of slavery in Galveston, Texas, in accordance with President Abraham Lincoln's 1863 Emancipation Proclamation,” according to CNN. Texas became the final state to end enslavement. Juneteenth is a day that Black people have long celebrated, but that many other Americans know little to nothing about. But as it’s now recognized as a federal holiday, that will change, and I look forward to adding more information about the holiday and its history to our curriculum. To keep things real here, we as a nation simply have not properly confronted our past crimes against humanity that took place during a 250 year period in the form of human bondage, abuse, and murder. It’s long past time that our country honors the lives lost to enslavement and all the people who survived it to see their emancipation, and celebrates the triumph over this evil system that built so much of our country and its wealth through the enslavement of millions of Black lives. Of course, this move by Congress and President Biden comes amid a national reckoning with issues of race, and a terrible spike in racist behavior. It also comes as some people across the country fight against efforts to teach “critical race theory,” which gives a direct and honest accounting of the history of race and racism in our society. Martin Luther King, Jr. reminded us that “the arc of the moral universe is long, but it bends toward justice.” This is one more important curve toward justice for everyone, but we still have a long way to go. Now, as the signing of the bill by the president comes just two days before the holiday it proclaims, we, the District, are unable to facilitate the holiday for our staff this year. So, Friday, June 18 is a normal work and summer learning day in OUSD. Even though tomorrow is still a work and school day in OUSD, I want to wish everyone in our community a wonderful, thoughtful, and reflective Juneteenth on Saturday as we work toward a more just society for all. In community, Dr. Kyla Johnson-Trammell Superintendent",https://www.facebook.com/122688404444202/posts/4095438330502503/,0628050,100065000000000,-1.65,12486,CALIFORNIA,35489
9/27/21,Clark-Pleasant Community School Corporation,Link,25,9,1,9,6,0,0,0,0,0,"Andy Bell-Baltaci, reporter for the Johnson County Journal, posted this story on social emotional learning in Monday's Johnson County Journal. In it he interviews diversity, equity and inclusion coordinator Ruby Butler, and behavioral health director Connie Poston. http://www.dailyjournal.net/2021/09/27/heres_what_social_emotional_learning_is_and_why_schools_have_practiced_it_for_years/:=:https://dailyjournal.net/2021/09/27/heres_what_social_emotional_learning_is_and_why_schools_have_practiced_it_for_years/",https://www.facebook.com/251371488389157/posts/1709843122541979/,1801890,251371000000000,-1.04,3341,INDIANA,6909
5/27/21,Kansas City Public Schools,Link,23,1,1,10,0,0,0,1,10,0,NA,https://www.facebook.com/137720132910139/posts/4690600610955379/,2916400,137720000000000,-2.7,12377,MISSOURI,14113
8/6/21,Greencastle-Antrim School District,Link,22,13,0,5,4,0,0,0,0,0,Statement in response to Social Justice / Critical Race Theory,https://www.facebook.com/404159373073365/posts/1875528412603113/,4211010,404159000000000,-1.5,3494,PENNSYLVANIA,2999
6/17/21,Washtenaw Intermediate School District,Link,22,19,0,3,0,0,0,0,0,0,"Dr. Shayla Griffin, WISD's Equity and Social Justice Consultant, on Critical Race Theory and why white students must be included in our equity efforts.",https://www.facebook.com/125805980893344/posts/2085372198270036/,268099000733,125806000000000,-1.09,2362,MICHIGAN,48
7/8/21,Moses Lake School District,Photo,20,6,6,8,0,0,0,0,0,0,"[ NOW LIVE // School Board Meeting ] It has come to our attention that misinformation regarding tonight's Board meeting has been circulating throughout our community. We firmly believe that this is a time for unity and collaboration, thus we find it prudent to clarify the following; 📍The board meeting will take place per usual at the School Board Room (940 E. Yonezawa Blvd) at 7 pm tonight, Thursday, July 8th ❌ The Board of Directors will NOT vote on the teaching of Critical Race Theory (CRT) nor on levy funding, however; ✅ The Board of Directors WILL address the Moses Lake School District's equity statement, which is available to review along (with the complete agenda for tonight's meeting) at http://go.boarddocs.com/wa/moseslake/Board.nsf/goto?open&id=C4FNTQ60E689:=:https://go.boarddocs.com/wa/moseslake/Board.nsf/goto?open&id=C4FNTQ60E689 ▶️ Watch the meeting via live stream: mlsd161.org/livestream/:=:https://www.mlsd161.org/apps/pages/sb-livestream ✍️ Submit public comment: bit.ly/MLSDcomment:=:https://docs.google.com/forms/d/e/1FAIpQLSeIPnx7hi1V8EGmfTN3bZGqLwFrayqOlkORj_g0izuiJxhmjg/viewform (Rewatch available Friday AM: https://www.mlsd161.org/apps/pages/sb-meetingarchive)",https://www.facebook.com/243902352402260/posts/3881243465334779/,5305220,100064000000000,-3.3,9271,WASHINGTON,8283
11/7/21,Conecuh County Schools,Photo,19,12,4,1,1,1,0,0,0,0,"School Board Member Mrs. Jan Hayes (pictured in the center) represented District 1 at the 2020-2021 Equity Committee Meeting held in Montgomery at Alabama Association of School Boards. The purpose of the meeting was to discuss how the various school boards address equity issues and the challenges they face in order to provide equity to our students. Topics of discussion included how AASB could better get school boards involved in equity training and Critical Race Theory. Mrs. Hayes commented, ""It was a very interesting meeting and I’d love to see our board take advantage of this new training when it is available in the near future.""",https://www.facebook.com/1574680076145381/posts/3149386792008027/,0100870,100064000000000,-1.32,3718,ALABAMA,1659
7/22/21,Culver City Unified School District,Link,17,15,0,1,1,0,0,0,0,0,"Kimberly Young, a CCUSD teacher who serves on the state’s Quality Instruction Commission, said in a forum Wednesday ethnic studies classes help students think critically.",https://www.facebook.com/1170849302949218/posts/4519650414735740/,0610260,117085e10,-1.71,2588,CALIFORNIA,7076
6/8/21,Silver Falls School District,Link,16,11,1,3,0,0,0,0,0,1,https://silverfallsschools.org/2021/06/08/combating-rumors-regarding-shs-graduation-critical-race-theory/,https://www.facebook.com/472913552811600/posts/3317819714987622/,411145000127,472914000000000,-1.62,2501,OREGON,252
8/19/21,Pittsford Central School District,Status,14,7,0,6,1,0,0,0,0,0,"Join Us for Community Forums on Curriculum Updates Assistant Superintendent for Instruction Melanie Ward will be sharing the NYSED Culturally Responsive-Sustaining Framework and recent updates to Pittsford’s K-12 English/language arts and social studies curriculum at the following events: Elementary Curriculum Review for Grades K-5 Tuesday, August 24, 6:30-7:30pm at Calkins Road Middle School, commons Secondary Curriculum Review for Grades 6-12 Thursday, August 26, 6:30-7:30pm at Calkins Road Middle School, commons Culturally Responsive-Sustaining Education is not the same as Critical Race Theory Culturally Responsive-Sustaining Education is a research-based, NYSED required approach to how we interact in the classroom, in an attempt to connect with each student and help create an environment where everyone reaches their full potential. Critical Race Theory is a term that is being used a lot recently, but is not being taught in our schools. Critical Race Theory is about challenging historical approaches to the teaching of topics connected to race. It is a social and legal construct, typically discussed in university settings. Join us to learn more about the NYSED framework and PCSD curriculum updates by registering here: https://www.pittsfordschools.org/Page/25783. ASL interpretation services will be provided during the events. The forums will be recorded and posted on the PCSD YouTube page.",https://www.facebook.com/185850194793977/posts/4216383891740567/,3623160,185850000000000,-1.71,2854,NEW YORK,5591
6/23/20,High School of Fashion Industries,Photo,14,8,1,3,2,0,0,0,0,0,"Audre Lorde, a self-described “black, lesbian, feminist, mother, poet, warrior,"" made lasting contributions in the fields of feminist theory, critical race studies and queer theory through her pedagogy and writing. Born in New York City to Caribbean immigrants, Lorde was the first black student at Hunter High School, a public school for gifted girls. She earned degrees at Hunter College and Columbia University and worked as a librarian in New York public schools throughout the 1960s. “I write for those women who do not speak, for those who do not have a voice because they were so terrified, because we are taught to respect fear more than ourselves. We’ve been taught that silence would save us, but it won’t.” Lorde was also a professor of English at John Jay College and Hunter College, where she held the prestigious post of Thomas Hunter Chair of Literature. In 1980, Lorde, along with fellow writer Barbara Smith, founded Kitchen Table: Women of Color Press, which published work by and about women of color, including Lorde’s book “I Am Your Sister: Black Women Organizing Across Sexualities” (1986). Some of Lorde’s most notable works written during this time were “Coal” (1976), “The Black Unicorn” (1978), “The Cancer Journals” (1980) and “Zami: A New Spelling of My Name” (1982)",https://www.facebook.com/118521981540601/posts/3279024258823675/,360007701949,118522000000000,-1.71,NA,NEW YORK,1675
10/14/21,Muncie Community Schools,Link,13,11,0,1,1,0,0,0,0,0,"We know it's Fall Break, but hope you saw this story from The Star Press regarding a couple of K-12 education topics people are very interested in these days. This should answer many questions you might have about SEL and CRT and how MCS approaches both.",https://www.facebook.com/265398816983536/posts/1759789410877795/,1807320,265399000000000,-2.62,6574,INDIANA,4996
8/12/21,Sheridan County School District #3,Link,13,10,0,3,0,0,0,0,0,0,NA,https://www.facebook.com/465990290135967/posts/4130556070346019/,5605680,465990000000000,-0.24,467,WYOMING,86
6/19/21,Rocketship Public Schools,Photo,13,7,0,0,6,0,0,0,0,0,"On this day in 1866, African Americans celebrated the first anniversary of their freedom from slavery. Today, 155 years later, we celebrate Juneteenth as a federal holiday for the first time in history. Though we’ve come a long way, we still have much further to go. Presently, lawmakers across the nation are pushing to ban the teaching of critical race theory in schools. What, we ask, is the point of acknowledging Juneteenth if we cannot teach the history behind it? As educators, our fight for equity starts in the classroom. Today and every day, we commit to educating our students on the true history of this nation, and teaching all of our Rocketeers to be anti-racist.",https://www.facebook.com/143358642391657/posts/4200880303306117/,060228614366,143359000000000,-2,12430,CALIFORNIA,554
