page_name,user_name,facebook_id,page_category,page_admin_top_country,page_description,page_created,likes_at_posting,followers_at_posting,post_created,post_created_date,post_created_time,type,total_interactions,likes,comments,shares,love,wow,haha,sad,angry,care,video_share_status,is_video_owner,post_views,total_views,total_views_for_all_crossposts,video_length,url,message,link,final_link,image_text,link_text,description,sponsor_id,sponsor_name,sponsor_category,overperforming_score_weighted_likes_1x_shares_1x_comments_1x_love_1x_wow_1x_haha_1x_sad_1x_angry_1x_care_1x,message_contains_crt,message_contains_critical_race_theory
Charles County Public Schools,CharlesCountyPublicSchools,1637556789800939,PUBLIC_SCHOOL,US,"The Board of Education of Charles County establishes educational and fiscal policy, provides overall direction and governs Charles County Public Schools.

",2015-06-09T15:46:15Z,9764,10392,2021-07-07 10:00:51 EDT,2021-07-07,10:00:51,Photo,3,1,0,2,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/1637556789800939/posts/2913394252217180,"The Advanced Placement (AP) Boot Camp is designed to help prepare high school students who are enrolling in selected AP courses for the 2021-22 school year. Led by current AP teachers, the boot camp workshops are designed to help students understand the general course requirements and pacing, the content and skills necessary for success in the course, and the design of the College Board examination. To learn more, visit https://tinyurl.com/3nt46k9s.",https://www.facebook.com/CharlesCountyPublicSchools/photos/a.1651506281739323/2913393978883874/?type=3,NA,14 >/1 > F8 CRT/LCD F10 F11 F12 NumLk ScroffLk 8 9 Ctrl Register for AP Boot Camp For CCPS students coi high ↑Shift Alt Ctrl Workshops led by current AP teachers,NA,NA,NA,NA,NA,-13.67,FALSE,FALSE
Corpus Christi Independent School District,CCISD,102175829311,PUBLIC_SCHOOL,US,"Committed to developing hearts and minds, Corpus Christi Independent School District serves over 39,000 students at 56 campuses within 68 square miles. For more info check out www.ccisd.us.",2009-07-17T16:29:42Z,26135,27850,2021-07-06 17:50:28 EDT,2021-07-06,17:50:28,Status,243,97,70,32,36,0,4,1,1,2,NA,-,0,0,0,N/A,https://www.facebook.com/102175829311/posts/10159528385579312,"Corpus Christi ISD statement regarding critical race theory inquiries Corpus Christi ISD, along with school districts across the nation, has received inquiries regarding critical race theory and how it relates to our schools. We serve nearly 35,000 students with a variety of thoughts, beliefs, perspectives and experiences. We value each child and strive to provide a warm, welcoming environment for every employee, student and family. It is important to note that critical race theory is not part of our social studies curriculum and has never been part of social studies curriculum in Texas. Throughout CCISD, we promote a culture of acceptance, understanding and achievement for all students and families. Additionally, we provide culturally relevant teaching training for staff, and celebrate a variety of cultural holidays throughout the school year. As a district, we remain committed to continuous improvement so that all students have the same opportunities to attain the educational success they are capable of achieving. We also take our role as stewards of public funds seriously, and provide preK-12 education in accordance with state standards. As our community remains focused on the important work yet to be done in healing from the effects of the pandemic, including its effect on our students’ learning, we remind those contacting our schools and district offices that any communication with our staff should be made in the respectful manner that we consistently strive to model for our students. While courteous communication is always an expectation, treating each other with respect is key to our staff’s recovery from an extraordinarily challenging 2020-2021 school year. We look forward to continuing to serve our community and to welcoming students back to campus on Tuesday, Aug. 10.",NA,NA,NA,NA,NA,NA,NA,NA,1.59,FALSE,TRUE
KIPP Public Schools,KIPPFoundation,276593497919,NON_PROFIT,US,"KIPP Public Schools is a national network of public charter schools that prepares students with the skills and confidence to create the future they want for themselves, their communities, and us all.",2010-01-29T19:15:42Z,41883,43288,2021-07-06 12:42:49 EDT,2021-07-06,12:42:49,Link,2,1,0,1,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/276593497919/posts/10159451550727920,"Science teacher at KIPP Indy Public Schools, Ronak Shah, writes about the long-lasting impact of the racial divide between Indianapolis districts, with one of the lasting effects being environmental injustice. When Ronak’s students asked why they haven’t seen or heard the cicadas they heard all about from the news and internet memes, he turned to the historical lines of segregation for answers. Read Ronak Shah’s Chalkbeat Indiana article to learn more about why he feels it’s necessary to answer his students’ questions honestly and teach them about the history of racism that exists in our country. https://in.chalkbeat.org/2021/6/28/22550964/cicadas-environmental-racism-indianapolis-critical-race-theory-crt",https://in.chalkbeat.org/2021/6/28/22550964/cicadas-environmental-racism-indianapolis-critical-race-theory-crt,NA,NA,"When students ask why they haven’t seen cicadas, we need to talk about environmental racism",Laws targeting critical race theory shouldn’t keep teachers from giving children an honest answer.,NA,NA,NA,-0.88,TRUE,FALSE
Morgan County R-II School District,MCR2Schools,200680193332454,PUBLIC_SCHOOL,US,The official Facebook page of Morgan County R-II School District.,2011-09-18T04:09:30Z,3158,3313,2021-06-30 17:25:14 EDT,2021-06-30,17:25:14,Link,131,61,10,38,21,0,0,0,0,1,NA,-,0,0,0,N/A,https://www.facebook.com/200680193332454/posts/4211209565612810,"A Statement From The Superintendent of Schools, Dr. Steve Barnes: We understand that many rumors and misinformation have been circulating online about what the Morgan County R-II School District is teaching, and we’d like to address that so you know what is going on in our classrooms. The number one thing to know is that what has been taught at Morgan County R-II will continue to be taught at Morgan County R-II. To address possible misunderstandings: - We are not adopting Critical Race Theory (or something similar) and we are also not changing words used to sneak in a political agenda or a particular program under a different name. That is not who we are. We will always be transparent about what children are learning in the classrooms and always look for ways to do better when we can. Critical Race Theory (CRT) is not a part of the social studies or any other curriculum, or in the Missouri State Standards, and we have no plan on changing that. CRT is an analytical tool that is used at the university level for evaluating the legal system and is not appropriate for the K-12 curriculum. - We do not have any classes that teach students to be ethnically a certain way. (The example asked about has been – “teaching students to be less white”. That is not and will not be a class.) - We do not have any classes that teach students about their gender roles and responsibilities. (The example asked about has been – “teaching boys to be more effeminate”. That is not and will not be a class.) In summary, the curriculum your children have learned in the past is the same curriculum that will be in place next year. We are aligned directly with the Missouri State Standards, and if you ever have questions about our curriculum, please do not hesitate to call the Central Office at 573-378-4231 or contact your building principal. You can also view our curriculum by clicking on this link: https://www.versaillestigers.org/curriculum.",https://www.versaillestigers.org/curriculum,NA,NA,Curriculum,NA,NA,NA,NA,5.95,TRUE,TRUE
Meadow Woods Elementary OCPS,mwmanatees,595224714007241,EDUCATION_COMPANY,US,"The official Facebook Page for Meadow Woods Elementary School in Orlando, FL
Manatees Mastering Excellence!",2017-03-09T20:37:53Z,771,865,2021-06-29 12:06:06 EDT,2021-06-29,12:06:06,Photo,56,31,13,0,11,0,0,0,0,1,NA,-,0,0,0,N/A,https://www.facebook.com/595224714007241/posts/1640764419453260,We are so thankful for the incredible talent that will fill our building next year. These amazing additions just make our Manatee family that much more wonderful!,https://www.facebook.com/mwmanatees/photos/a.607589622770750/1640763562786679/?type=3,NA,SCHOOL Meadew Woeds Eleventary WOULD LIKE TO WELCÓME OUR NEW AMAZING MANATEE TEACHERS AND STAFF Ms. Roman CRT Ms. Steelman Math/Science Coach Ms. Rivera Behavio Specialist McNeill VPK Ms. Castanera School Counselor Ms. Anderson 5th Ms. Vargas 4th Ms. Carnet 3rd Ms. Tiernan 1st Ms. Seljos 4th M”dewi PosterMyW-ll.com Ms. Ortiz 2nd Ms. Rodriguez 5th Ms. Ortiz 5th,NA,NA,NA,NA,NA,1.6,FALSE,FALSE
Charles County Public Schools,CharlesCountyPublicSchools,1637556789800939,PUBLIC_SCHOOL,US,"The Board of Education of Charles County establishes educational and fiscal policy, provides overall direction and governs Charles County Public Schools.

",2015-06-09T15:46:15Z,9757,10383,2021-06-28 13:00:28 EDT,2021-06-28,13:00:28,Photo,4,0,1,2,1,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/1637556789800939/posts/2913390188884253,"The Advanced Placement (AP) Boot Camp is designed to help prepare high school students who are enrolling in selected AP courses for the 2021-22 school year. Led by current AP teachers, the boot camp workshops are designed to help students understand the general course requirements and pacing, the content and skills necessary for success in the course, and the design of the College Board examination. To learn more, visit https://tinyurl.com/3nt46k9s.",https://www.facebook.com/CharlesCountyPublicSchools/photos/a.1651506281739323/2913389902217615/?type=3,NA,14 >/1 > F8 CRT/LCD F10 F11 F12 NumLk ScroffLk 8 9 Ctrl Register for AP Boot Camp For CCPS students coi high ↑Shift Alt Ctrl Workshops led by current AP teachers,NA,NA,NA,NA,NA,-10.25,FALSE,FALSE
Legacy Preparatory Charter Academy,legacypcadfw,269239266507720,SCHOOL,US,"The mission of Legacy Preparatory Charter Academy is to prepare all students to become college and career ready by promoting individual ownership of the learning process through the development of intellectual and emotional independence, while instilling the values needed to become successful leaders in the 21st century.",2012-05-18T13:23:24Z,3337,3440,2021-06-27 08:48:46 EDT,2021-06-27,08:48:46,Live Video Complete,1,0,0,0,1,0,0,0,0,0,share,No,31,647,0,00:32:36,https://www.facebook.com/269239266507720/posts/3915745188523758,"It’s that time in the morning! My 30 minute podcast will look at the impact that critical race theory is having on parents, school districts, and school boards all over the country. I’ll also will examine the Supreme Court ruling on the NCAA’s limits on education-related benefits for Student Athletes. Thank you to Judge John Payton for joining me today. Only on the Ask Dr. B. Good Show! Stay tuned! https://fb.watch/6ob2Ci5C6j/:=:https://www.facebook.com/AskDr.B.Good/videos/602200217364328/?extid=NS-UNK-UNK-UNK-IOS_GK0T-GK1C",https://www.facebook.com/AskDr.B.Good/videos/602200217364328/,NA,NA,Ask Dr. B. Good,"#AskDrBGood s2e24 Pay College Athletes?
Ask Dr. B Good Pub Ed Expert & Superintendent
Today we’re going to look at the impact that critical race theory is having on parents, school districts, and school boards all over the country.
We also will examine the supreme court ruling on the NCAA’s limits on education-related benefits for Student Athletes. 
Only on the Ask Dr. B. Good Show! 
Stay tuned!",NA,NA,NA,-33,FALSE,TRUE
Quality Education Academy,qeschools,202012446626026,LOCAL,US,Our Commitment to Excellence is Our Commitment to You.,2013-08-20T00:47:12Z,1647,2333,2021-06-26 21:24:07 EDT,2021-06-26,21:24:07,Native Video,10,3,1,4,2,0,0,0,0,0,owned,Yes,550,817,0,00:07:44,https://www.facebook.com/202012446626026/posts/1788128624681059,"With all the national debate about teaching critical race theory in public schools, we are sticking to our mission-specific outcomes-engendering pride in our indigenous cultures. 2021-2022 school year will be our 30th year teaching our children ALL of world and US history. Our graduates speak for themselves. It works. #QEA30yrsStrong",https://www.facebook.com/qeschools/videos/1777933469060494/,NA,NA,NA,NA,NA,NA,NA,-2.1,FALSE,TRUE
Snohomish School District,snohomishschooldistrict,136141411096,PUBLIC_SCHOOL,US,"The Snohomish School District, in its commitment to excellence, places the success of each student at the center of all decisions and actions. Partnerships and strong academic programs ensure competent, responsible, lifelong learners.",2009-08-18T00:58:32Z,10395,11063,2021-06-25 15:15:41 EDT,2021-06-25,15:15:41,Link,74,37,36,1,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/136141411096/posts/10157736871196097,"Dear Community, As a follow-up to the conversations occurring in our community, I wanted to provide you with information about what is/is not occurring in the Snohomish School District in regard to Critical Race Theory (CRT), sexual education curriculum and use of masks/face coverings. And more importantly, I want to emphasize that the Snohomish School District is dedicated to each and every student’s education and strives to create a welcoming and inclusive environment for all. Our goal is to ensure that any student who entrusts us with their education earns their diploma while having a safe and positive experience in our schools. As summer is upon us and we prepare for full-time, in-person school next fall, I look forward to continuing our conversations around the quality of education in Snohomish. Thank you for your time, it is a pleasure to serve as your superintendent. Kent Critical Race Theory (CRT) The Snohomish School District does not have a Critical Race Theory (CRT) curriculum or class, nor does the state mandate we do so. Snohomish School District strives for equity through the efforts of removing all barriers to learning and by doing so seeks to honor and value the lives of each and every student, staff, and community member regardless of race, ethnicity, sex, gender identity, sexual orientation, religion, neurodiversity, social class or disability. Masks/face coverings The Centers for Disease Control and Prevention, Washington State Department of Health, the Washington Office of Superintendent of Public Instruction (OSPI) and Snohomish Health District have all noted masks are currently required for all individuals in the school setting (K-12). The district must follow the student health and safety requirements mandated by these entities. This is a state mandate that our neighboring school districts all follow as well. As we work through the summer, we fully anticipate that guidance from federal, state and local health partners may be changing regarding many of the COVID-19 health and safety aspects. Although we have no advance notice of what those changes may be, we will adapt accordingly and throughout the summer district teams will work to prepare our schools, classrooms and spaces to accommodate full, in-person enrollment. We will communicate any changes as soon as we are made aware. Sexual education curriculum Our district offers human growth and development curriculum to students in 5th through 9th grades. Our adopted curriculum used in the classroom, which is available at www.sno.wednet.edu/healtheducation,:=:https://www.sno.wednet.edu:443/healtheducation, went through our public review process which includes community meetings and input. In addition, each time the curriculum is taught we are required to have community meetings so families have the information before instruction so they can decide whether to opt their child out of the lessons. Senate Bill 5395, passed by the Legislature and the voters in 2020, took effect on December 3, 2020. It requires all Washington public schools to provide comprehensive sexual health education instruction that is medically and scientifically accurate, evidence-informed, age-appropriate, aligned with health and learning standards, and inclusive of all students regardless of their protected class status. The bill defines comprehensive sexual health education as recurring instruction in human development and reproduction that is age-appropriate and inclusive of all students. The bill maintains the right for parents/guardians to opt their children out of sexual health education instruction at any time. According to the requirements of Senate Bill 5395: Beginning in the 2021−22 school year • Schools must begin providing comprehensive sexual health education at least twice between grades 6−8 and at least twice between grades 9−12. For example, to meet the requirements for grades 6–8, schools may choose to provide instruction once in grade 6 and once in grade 8. The instruction must also include age-appropriate information about affirmative consent and bystander training. • Schools must inform the Office of Superintendent of Public Instruction (OSPI) of any curricula used to provide comprehensive sexual health education and describe how their instruction aligns with the requirements of the bill. •The Snohomish School District adopted human growth and development curriculum used in our 6th through 9th grade classrooms is available at www.sno.wednet.edu/healtheducation.:=:https://www.sno.wednet.edu:443/healtheducation. Opt out is available for anyone who does not want to participate. Beginning in the 2022−23 school year • Schools must provide social emotional learning (SEL) to students in grades K−3. There is no sexual health content required for students in grades K–3. • Schools must begin providing comprehensive sexual health education at least once between grades 4−5. Instruction on human growth and development (puberty) generally begins in 5th grade....",https://www.sno.wednet.edu/healtheducation,NA,NA,Health Education / Health Education,"HIV/AIDS prevention will be taught this year in 5th and 6th grade only as required by the state. Families are invited to attend a presentation to learn about the lessons, activities and resources that will be used to teach the topic and the opt-out process.  ",NA,NA,NA,1.3,TRUE,TRUE
Caledonia Area Public Schools,cps.k12.mn.us,831440620208616,SCHOOL,US,"Caledonia Area Public Schools serves the communities of Caledonia, Brownsville, Eitzen and Freeburg in Southeastern Minnesota.",2014-08-13T01:48:33Z,1281,1357,2021-06-22 12:08:03 EDT,2021-06-22,12:08:03,Status,28,27,1,0,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/831440620208616/posts/4566237923395515,Some questions have been brought to school administration regarding Critical Race Theory (CRT). Caledonia Area Public Schools does not teach Critical Race Theory to our students as CRT does not appear anywhere in the Minnesota State Standards.,NA,NA,NA,NA,NA,NA,NA,NA,-1.18,TRUE,TRUE
Rocketship Public Schools,RocketshipSchools,143358642391657,PUBLIC_SCHOOL,US,"We are a collective of parents, teachers, leaders, and students working together to transform the future for low-income communities across our country. At Rocketship Public Schools, we are unleashing potential.",2011-02-01T08:25:28Z,11842,12430,2021-06-19 12:00:08 EDT,2021-06-19,12:00:08,Photo,13,7,0,0,6,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/143358642391657/posts/4200880303306117,"On this day in 1866, African Americans celebrated the first anniversary of their freedom from slavery. Today, 155 years later, we celebrate Juneteenth as a federal holiday for the first time in history. Though we’ve come a long way, we still have much further to go. Presently, lawmakers across the nation are pushing to ban the teaching of critical race theory in schools. What, we ask, is the point of acknowledging Juneteenth if we cannot teach the history behind it? As educators, our fight for equity starts in the classroom. Today and every day, we commit to educating our students on the true history of this nation, and teaching all of our Rocketeers to be anti-racist.",https://www.facebook.com/RocketshipSchools/photos/a.361639430563576/4200880303306117/?type=3,NA,"""TODAY ON JUNETEENTH, the day we celebrate the end of slavery, the day we memorialize those who offered us hope for the future and the to day when we renew our commitment struggle for freedom."" Angela Davis",Timeline photos,NA,NA,NA,NA,-2,FALSE,TRUE
Oakland Unified School District,ousdnews,122688404444202,PUBLIC_SCHOOL,US,Oakland Unified is California's most-improved urban school district over the past decade.,2010-07-27T19:33:50Z,11154,12486,2021-06-18 03:05:50 EDT,2021-06-18,03:05:50,Photo,26,16,3,4,3,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/122688404444202/posts/4095438330502503,"Dear Oakland Unified Community, I write to you with a full heart today. Something has happened that was long overdue in our nation, and I want to celebrate it with the entire district. Congress passed and then President Joe Biden signed into law a federal holiday on June 19th, or Juneteenth, commemorating the end of enslavement in the United States. June 19, 1865 is the day that “Union Major General Gordon Granger announced the end of slavery in Galveston, Texas, in accordance with President Abraham Lincoln's 1863 Emancipation Proclamation,” according to CNN. Texas became the final state to end enslavement. Juneteenth is a day that Black people have long celebrated, but that many other Americans know little to nothing about. But as it’s now recognized as a federal holiday, that will change, and I look forward to adding more information about the holiday and its history to our curriculum. To keep things real here, we as a nation simply have not properly confronted our past crimes against humanity that took place during a 250 year period in the form of human bondage, abuse, and murder. It’s long past time that our country honors the lives lost to enslavement and all the people who survived it to see their emancipation, and celebrates the triumph over this evil system that built so much of our country and its wealth through the enslavement of millions of Black lives. Of course, this move by Congress and President Biden comes amid a national reckoning with issues of race, and a terrible spike in racist behavior. It also comes as some people across the country fight against efforts to teach “critical race theory,” which gives a direct and honest accounting of the history of race and racism in our society. Martin Luther King, Jr. reminded us that “the arc of the moral universe is long, but it bends toward justice.” This is one more important curve toward justice for everyone, but we still have a long way to go. Now, as the signing of the bill by the president comes just two days before the holiday it proclaims, we, the District, are unable to facilitate the holiday for our staff this year. So, Friday, June 18 is a normal work and summer learning day in OUSD. Even though tomorrow is still a work and school day in OUSD, I want to wish everyone in our community a wonderful, thoughtful, and reflective Juneteenth on Saturday as we work toward a more just society for all. In community, Dr. Kyla Johnson-Trammell Superintendent",https://www.facebook.com/ousdnews/photos/a.124078947638481/4095429500503386/?type=3,NA,JUNE EENTH FREEDOM DAY,NA,NA,NA,NA,NA,-1.65,FALSE,TRUE
Washtenaw Intermediate School District,WashISD,125805980893344,PUBLIC_SERVICES_GOVERNMENT,US,"Washtenaw ISD's mission is to promote the continuous improvement of achievement for every student while providing high-quality service to our customers through leadership, innovation, and collaboration.",2012-06-25T15:53:27Z,2087,2362,2021-06-17 16:10:58 EDT,2021-06-17,16:10:58,Link,22,19,0,3,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/125805980893344/posts/2085372198270036,"Dr. Shayla Griffin, WISD's Equity and Social Justice Consultant, on Critical Race Theory and why white students must be included in our equity efforts.",https://link.medium.com/OUPIbDjj9gb,https://rsci.app.link/OUPIbDjj9gb?_p=c51629c69a1c66f2ea038cfde1,NA,The “Critical Race Theory” Panic Reveals Why White Students Must Be Included in Our Equity Efforts,"Over the past few months, schools across the country have been embroiled in controversy as far-right leaders attempt to ban the teaching…",NA,NA,NA,1,FALSE,TRUE
Wayne Township Public Schools,WaynePublicSchools,370428359664173,PUBLIC_SCHOOL,US,"The Wayne Township public school district consists of 2 high schools, 3 middle schools, 9 elementary schools and 1 early childhood center. These 15 schools serve more than 8,500 students.",2012-04-06T16:22:49Z,3995,4656,2021-06-17 15:22:43 EDT,2021-06-17,15:22:43,Photo,4,2,2,0,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/370428359664173/posts/5732892710084351,"Currently, a debate is playing out in communities across the United States regarding Critical Race Theory and public schools. For example, on Tuesday, the Governor of Texas signed a bill into law that does not name Critical Race Theory specifically, but instead, bans teachers from teaching topics and ideas closely associated with Critical Race Theory. Some of the topics and ideas at issue include diversity and inclusion, anti-racism training, inherent racism, equity, social justice, multiculturalism, and the 1619 Project. Click to read the complete letter and FAQs: http://bitly.ws/ejzw:=:https://nj02210894.schoolwires.net/cms/lib/NJ02210894/Centricity/domain/8/file/announcements/Letter%20from%20the%20Superintendent%206%2017%2021.docx.pdf",https://www.facebook.com/WaynePublicSchools/photos/a.390389597668049/5732891070084515/?type=3,NA,"LETTER FROM THE SUPERINTENDENT June 17, 2021 Wayne Township Public Schools",NA,NA,NA,NA,NA,-5.75,FALSE,TRUE
Skiatook Public Schools,skiatookschools,153791991299998,PUBLIC_SCHOOL,US,About Us,2010-08-27T01:17:22Z,3700,3895,2021-06-17 14:52:16 EDT,2021-06-17,14:52:16,Link,2,1,0,0,1,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/153791991299998/posts/4495534780459009,NA,https://www.facebook.com/events/956705438420112/,NA,NA,Electronic Recycling Day,"WHEN: Saturday, June 19th 10:00am to 4:00pm

WHERE: Skiatook High School Parking Lot

WHAT: Donors are asked to bring their unwanted electronics for recycling.

Acceptable Materials* in any age/condition/quantity are welcome and FREE to recycle.
This event is open to everyone (business or individual) with unwanted electronics.

Acceptable Materials: Computers, printers, microwave ovens, phones, office equipment, home entertainment
devices, etc. Just about anything NOT on the Prohibited Material or Fee-Based list

Prohibited Materials: Items with Freon (refrigerators/air conditioners), Anything radioactive (like smoke detectors), Anything bio-hazardous (dirty medical equipment) , light bulbs

Fee Based Items: TVs @ $20/each, CRT Monitors @ $10/each, LCD Monitors are Free

WHY: Unwanted electronics create environmental hazards when disposed of in landfills.
Non-profit organizations can use the working items that you no longer want.

WHO WE ARE: Electronic Synergy Foundation is a 501C3 non-profit electronic recycler. Our mission is to leverage the recycling of electronics for environmental stewardship and charitable works.

Electronic Synergy Foundation guarantees data destruction and environmentally friendly disposal for all material received. We DO NOT export or landfill ewaste",NA,NA,NA,-16.5,NA,NA
"The Griffin-Spalding County School System, Griffin GA",GSCSS,191856137544050,PUBLIC_SCHOOL,US,"We are an accredited quality school system serving just under 10,000 students in our 19 schools.",2011-08-09T14:50:02Z,8866,9371,2021-06-16 15:34:51 EDT,2021-06-16,15:34:51,Link,100,35,38,20,7,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/191856137544050/posts/4310951968967759,NA,https://announcements.catapultcms.com/utilities/SharePost.aspx?capostid=36438,http://www.spalding.k12.ga.us/announcements/?capostid=36438,NA,School Superintendent Simmons Releases Statement Regarding No Critical Race Theory,"On Tuesday, June 15, Griffin-Spalding County School System (GSCS) Superintendent Keith Simmons made a public statement at the end of the Board of Education work session. He stated to the board, those in attendance and to the public audience watching virtually, “I want to be clear. In the Griff...",NA,NA,NA,2.04,NA,NA
Woodland Joint Unified School District,WoodlandCaSchools,288497261516627,PUBLIC_SERVICES_GOVERNMENT,US,"WJUSD provides preschool through high school education to more than 10,000 students in the Woodland, Knights Landing, Yolo and Zamora communities.",2016-08-08T22:48:25Z,2599,2807,2021-06-15 11:38:33 EDT,2021-06-15,11:38:33,Photo,41,30,4,4,2,0,0,0,0,1,NA,-,0,0,0,N/A,https://www.facebook.com/288497261516627/posts/1411263822573293,"Chris joined the WJUSD team on May 3, 2021. Mr. Aldaco recently obtained a Master of Arts in Education from Cal State Long Beach and has over eight years of experience in education. As a college access advisor, he helped cultivate a 4-year college pathway for first-generation families. As an education coordinator at Homeboy Industries, he assisted formerly gang-involved and previously incarcerated men and women get on track for college. Mr. Aldaco's role will be to provide coaching, support, and professional development to the CAFÉ specialists and our community. He uses Critical Race Theory, Culturally Relevant Pedagogy, and the concept of Community Cultural Wealth to guide his work. Chris will support district-wide and site equity-centered engagement efforts. Cristóbal se unió al equipo de WJUSD el 3 de mayo de 2021. Recientemente, el Sr. Aldaco obtuvo una Maestría en Educación de la Universidad Estatal de California, Long Beach, y tiene más de ocho años de experiencia en educación. Como asesor de acceso a la universidad, ayudó a cultivar un camino universitario para familias de primera generación. Como coordinador de educación en Homeboy Industries, ayudó a hombres y mujeres que habían estado involucrados en pandillas y anteriormente encarcelados a encaminarse hacia la universidad. El Sr. Aldaco tiene la responsbilidad de brindar entrenamiento, apoyo y desarrollo profesional a los especialistas de CAFÉ y nuestra comunidad. Cristóbal utiliza la Teoría Crítica de la Raza, la Pedagogía Culturalmente Relevante y el concepto de Riqueza Cultural Comunitaria para guiar su trabajo. Cristóbal apoyará los esfuerzos de participación centrados en la equidad en todo el distrito escolar.",https://www.facebook.com/WoodlandCaSchools/photos/a.1152119441821067/1411263792573296/?type=3,NA,"Chris/Cristóbal Aldaco, CAFÉ Manager mayo Recientemente, Universidad deCal asesor hombre CAFÉ nuestra tiene los quidad trabajo. Cristóbal T”a Riqueza esfuerzos participación ""Nada sucede el mundo ""real"" a menos que suceda primero imágenes que tenemos en la cabeza"" Gloria Anzaldua Chris/Cristóbal Aldaco, CAFÉ Manager joined WJUSD team May 2021. Aldaco recently obtained Master Artsi Educatio from Long Beach over eight previously first-generation assisted formerly gang- track andsit Culturally Relevant Pedagogy. concept Cultural Wealth guide Chris will support district- ""Nothing happens in the ""real"" world unless first happens in the images in our heads"" Gloria Anzaldua",NA,NA,NA,NA,NA,1.41,FALSE,TRUE
Silver Falls School District,silverfallsschools,472913552811600,PUBLIC_SCHOOL,US,"The official Facebook page of the Silver Falls School District, serving the cities of Silverton and Scotts Mills, Oregon, and their surrounding communities.",2014-08-04T16:43:15Z,2281,2501,2021-06-08 18:44:50 EDT,2021-06-08,18:44:50,Link,16,11,1,3,0,0,0,0,0,1,NA,-,0,0,0,N/A,https://www.facebook.com/472913552811600/posts/3317819714987622,https://silverfallsschools.org/2021/06/08/combating-rumors-regarding-shs-graduation-critical-race-theory/,https://silverfallsschools.org/2021/06/08/combating-rumors-regarding-shs-graduation-critical-race-theory/,NA,NA,Combating Rumors Regarding SHS Graduation & Critical Race Theory,"Good afternoon, Silver Falls Families. Recently, we’ve heard a number of rumors and theories circulating in our community. We’re writing today to debunk several of those rumors, as well as to provide ways you can ensure the information you’re hearing comes from a reliable source. SHS Community...",NA,NA,NA,-1.5,FALSE,FALSE
Concord School District,NA,847661018602467,HIGH_SCHOOL,US,Home of the Pirates,2015-04-28T14:07:49Z,1414,1483,2021-06-04 09:01:42 EDT,2021-06-04,09:01:42,Photo,24,5,4,15,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/847661018602467/posts/4176019769099892,The eWaste trailer is BACK!!! It is located in the gym parking lot. This is available to the community and we encourage you to take advantage of this opportunity provided by White River Solid Waste Management. The photo indicates which items are allowed and not allowed to be placed inside the trailer. Please refer to this when placing items inside. If you have any questions you may contact the school. Thank you!,https://www.facebook.com/847661018602467/photos/a.848275101874392/4176014062433796/?type=3,NA,"White River Regional Solid Waste Management District Electronic Waste Items Acceptable for Recycling Computers Towers Mother Boards Central Processing Unit Fax machines Hard Drives Printers Tablets Only LCD Monitors that are not broken. Must be packed (face to face with tape) during transport Keyboards Laptops Laptop Batteries Mouse E-Readers Phones CPU Processors Cell Phones Network cards Servers Network Switch and router Game Consoles Telecom Mainframes MP3 players Computer Servers Digital Cameras Bluetooth cards Game Controller Wireless network cards Joysticks Video cards DVD and CD Players Absolutely NO TV's or CRT TVs, or CRT Monitors NO Broken LCD Monitors",NA,NA,NA,NA,NA,-2.29,FALSE,FALSE
"Cherokee County, Georgia",CherokeeCountyGa,100064625116339,PERSON,US,"Welcome to the official Facebook page for the Cherokee County, Georgia government! Please see our So",2009-03-09T21:34:18Z,17111,19809,2021-06-03 16:52:52 EDT,2021-06-03,16:52:52,Photo,26,17,3,6,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/82057741176/posts/10159637840641177,Great news! We now accept flat-screen televisions and monitors for recycling! See additional details in the post below. #cherokeecounty #cherokeega,https://www.facebook.com/133012050083192/photos/a.2695039453880426/4238112999573056/?type=3,NA,NA,Cherokee County Recycling Center,"GREAT NEWS!
We are now able to accept flat screen televisions and flat screen computer monitors for RECYCLING..
There will be a fee of $20 for televisions and $10 for computer monitors.
These items are being recycled and not disposed of in the landfill.
Tube style televisions and CRT monitors will still have to be brought to an electronics recycling event for disposal.
Blalock Rd. facility only please.",NA,NA,NA,-3.15,FALSE,FALSE
